round,date,home_team,away_team,home_score,away_score,stadium,stage
18,08/03/2019,IF Brommapojkarna,IK Brage,1,2,Grimsta IP 1,
18,08/04/2019,Syrianska FC,Trelleborgs FF,2,2,Södertälje Fotbollsarena,
18,08/04/2019,IK Frej Täby,Västerås SK FK,1,1,Vikingavallen/Täby IP 1,
18,08/04/2019,Östers IF,GAIS,2,1,Myresjöhus Arena 1,
18,08/06/2019,Örgryte IS FF,Halmstad,3,1,Gamla Ullevi,
19,08/09/2019,Varbergs BoIS FC,IK Frej Täby,2,2,Påskbergsvallen A,
19,08/10/2019,Halmstad,Dalkurd,2,0,Örjans Vall,
19,08/10/2019,Norrby IF,Degerfors IF,1,0,Borås Arena,
19,08/11/2019,Trelleborgs FF,IF Brommapojkarna,1,1,"Vångavallen, Trelleborg A-plan",
19,08/11/2019,IK Brage,Östers IF,5,1,Domnarvsvallen,
19,08/11/2019,GAIS,Mjällby AIF,1,2,Gamla Ullevi,
